threshold,accuracy,spam_precision,spam_recall,spam_f1,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,false_negative_rate
-1.0,0.7796312554872695,0.5214489990467112,1.0,0.6854636591478697,2458,1004,0,1094,0.2900057770075101,0.0
-0.75,0.9135206321334504,0.7352150537634409,1.0,0.8474051123160341,3068,394,0,1094,0.11380704794916234,0.0
-0.5,0.9749780509218613,0.906301824212272,0.9990859232175503,0.9504347826086956,3349,113,1,1093,0.03264009243212016,0.0009140767824497258
-0.4,0.9857330992098332,0.9446845289541919,0.9990859232175503,0.9711239449133718,3398,64,1,1093,0.01848642403235124,0.0009140767824497258
-0.3,0.9918788410886743,0.9706144256455922,0.9963436928702011,0.9833107803337844,3429,33,4,1090,0.009532062391681109,0.003656307129798903
-0.2,0.9938542581211589,0.9810469314079422,0.993601462522852,0.9872842870118075,3441,21,7,1087,0.006065857885615251,0.006398537477148081
-0.15,0.995171202809482,0.9872727272727273,0.9926873857404022,0.9899726526891522,3448,14,8,1086,0.004043905257076834,0.007312614259597806
-0.1,0.9956101843722563,0.9908592321755028,0.9908592321755028,0.9908592321755028,3452,10,10,1084,0.0028885037550548816,0.009140767824497258
-0.05,0.9953906935908692,0.9935602575896965,0.9872029250457038,0.9903713892709766,3455,7,14,1080,0.002021952628538417,0.012797074954296161
0.0,0.9947322212467077,0.9962894248608535,0.9817184643510055,0.988950276243094,3458,4,20,1074,0.0011554015020219526,0.018281535648994516
0.05,0.9938542581211589,0.9972014925373134,0.9771480804387569,0.987072945521699,3459,3,25,1069,0.0008665511265164644,0.022851919561243144
0.1,0.990342405618964,0.9971590909090909,0.9625228519195612,0.9795348837209302,3459,3,41,1053,0.0008665511265164644,0.037477148080438755
0.15,0.9881474978050921,0.997131931166348,0.953382084095064,0.974766355140187,3459,3,51,1043,0.0008665511265164644,0.04661791590493602
0.2,0.9850746268656716,0.997093023255814,0.9405850091407678,0.9680150517403575,3459,3,65,1029,0.0008665511265164644,0.05941499085923217
0.3,0.9806848112379281,0.9970355731225297,0.9223034734917733,0.9582146248812915,3459,3,85,1009,0.0008665511265164644,0.07769652650822668
0.4,0.9703687445127305,0.9979231568016614,0.8784277879341865,0.9343704423918328,3460,2,133,961,0.0005777007510109763,0.12157221206581353
0.5,0.9591747146619842,0.9989010989010989,0.8308957952468007,0.907185628742515,3461,1,185,909,0.00028885037550548814,0.16910420475319926
0.75,0.9284460052677788,1.0,0.7020109689213894,0.8249194414607949,3462,0,326,768,0.0,0.2979890310786106
1.0,0.8540386303775241,1.0,0.3921389396709324,0.5633617859487853,3462,0,665,429,0.0,0.6078610603290676
